path	author	sex	birthday	header	created	sphere	genre_fi	type	topic	chronotop	style	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	country	region	language
				ВТБ в I квартале 2017 года предоставил предприятиям СКФО 5,5 млрд рублей	10.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-v-i-kvartale-2017-goda-predostavil-predpriyatiyam-skfo-55-/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Платежи по кредитам пришли в докризисную норму	05.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/platezhi-po-kreditam-prishli-v-dokrizisnuyu-normu/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Подготовлены новые поправки к закону об ОСАГО	05.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/podgotovleny-novye-popravki-k-zakonu-ob-osago/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Ставропольцы Карен и Самвел Татевосовы победили в Первенстве СКФО по греко-римской борьбе	05.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/stavropoltsy-karen-i-samvel-tatevosovy-pobedili-v-pervenstve-s/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Евгений Кузнецов и Илья Захаров в третий раз подряд заняли третье место на Чемпионате мира по прыжкам в воду	05.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/evgeniy-kuznetsov-i-ilya-zaharov-v-tretiy-raz-podryad-zanyali-/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Госдума одобрила перевод всех бюджетников на карты «Мир» уже в этом году	05.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/gosduma-odobrila-perevod-vseh-byudzhetnikov-na-karty-mir-uzhe-/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Ставропольские пауэрлифтеры завоевали три «золота» Кубка Северного Кавказа	05.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/stavropolskie-pauerliftery-zavoevali-tri-zolota-kubka-severnog/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				В питерском метрополитене прогремел взрыв (новость дополняется)	03.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/v-piterskom-metropolitene-progremel-vzryv/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Дорога к Сочи может пойти не через Кисловодск, а через Черкесск	30.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/doroga-k-sochi-mozhet-poyti-ne-cherez-kislovodsk-a-cherez-cher/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				В мае компания ЕвроХим совместно с Минприроды начнёт масштабную реконструкцию Мамаева кургана в Волгограде	28.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/v-mae-kompaniya-evrohim-nachnyot-masshtabnuyu-rekonstruktsiyu-/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Террористов из банды «Ногайский джамаат» приговорили к 15 и 8,5 годам колонии	28.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/nogayskiy-dzhamaat-prigovor/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Турнир имени Владислава Духина открылся в Ставрополе	27.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/turnir-imeni-vladislava-duhina-otkrylsya-v-stavropole/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
